Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Steven Adams\adamsst01,C,26,OKC,51,1382,20.8,.599,.008,.400,14.4,24.1,19.4,13.9,1.4,3.6,13.9,17.4,,3.3,2.2,5.5,.192,,1.2,3.4,4.7,2.3
2,Bam Adebayo\adebaba01,PF,22,MIA,56,1927,20.9,.613,.020,.475,8.9,24.4,17.0,23.1,1.8,3.4,17.4,20.3,,4.3,3.1,7.3,.183,,1.1,3.9,5.0,3.4
3,LaMarcus Aldridge\aldrila01,C,34,SAS,52,1717,19.9,.573,.199,.243,6.4,17.9,12.2,11.5,0.9,4.2,7.9,23.3,,3.2,1.3,4.5,.127,,1.2,0.4,1.6,1.5
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,501,7.7,.441,.515,.123,1.7,15.2,8.4,20.5,1.0,1.2,14.3,22.9,,-0.7,0.3,-0.4,-0.037,,-4.0,-2.0,-6.1,-0.5
5,Grayson Allen\allengr01,SG,24,MEM,30,498,11.4,.577,.517,.199,1.1,12.7,7.0,11.7,0.6,0.2,10.7,17.9,,0.5,0.2,0.7,.065,,-0.8,-2.6,-3.3,-0.2
6,Jarrett Allen\allenja01,C,21,BRK,55,1447,20.4,.653,.014,.571,12.2,24.7,18.7,8.0,1.1,4.5,11.9,15.0,,3.8,2.6,6.4,.212,,0.1,3.4,3.5,2.0
7,Kadeem Allen\allenka01,SG,27,NYK,10,117,14.1,.512,.364,.250,1.7,6.6,4.1,27.5,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.054,,-1.4,-2.5,-3.9,-0.1
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,7.7,.395,.419,.337,6.4,18.4,12.2,7.6,2.3,1.9,14.7,13.2,,-0.4,0.6,0.1,.018,,-5.1,2.1,-3.0,-0.1
9,Justin Anderson\anderju01,SF,26,BRK,3,17,-3.8,.218,.500,.333,0.0,11.8,6.0,0.0,0.0,4.8,0.0,16.9,,-0.1,0.0,-0.1,-0.165,,-12.7,-2.5,-15.2,-0.1
10,Kyle Anderson\anderky01,PF,26,MEM,50,913,13.5,.549,.201,.259,5.7,18.5,12.2,15.4,2.0,2.3,15.3,13.4,,0.8,1.0,1.9,.098,,-1.5,2.2,0.7,0.6
11,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.6,.357,.714,.000,0.0,52.7,26.2,20.1,3.3,0.0,12.5,23.5,,0.0,0.0,0.0,-0.031,,-7.3,1.8,-5.5,0.0
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,50,1543,32.5,.610,.240,.517,8.2,33.5,21.6,34.0,1.6,3.0,12.9,37.7,,5.3,4.1,9.4,.294,,7.0,5.2,12.2,5.5
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,5,8.6,,,,0.0,21.3,10.9,22.4,0.0,0.0,,0.0,,0.0,0.0,0.0,.132,,-4.8,1.0,-3.8,0.0
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,15,61,13.7,.556,.130,.391,10.3,1.5,5.6,14.0,1.5,1.4,15.6,21.6,,0.0,0.1,0.1,.109,,-1.8,-1.2,-3.0,0.0
15,Carmelo Anthony\anthoca01,PF,35,POR,42,1369,12.3,.511,.292,.197,4.1,16.3,10.3,6.6,1.2,1.2,10.1,22.0,,0.0,0.7,0.8,.028,,-2.2,-1.5,-3.6,-0.6
16,OG Anunoby\anunoog01,SF,22,TOR,56,1640,12.4,.584,.407,.150,4.0,14.9,9.6,7.4,1.9,2.3,12.7,14.6,,1.2,2.8,4.0,.117,,-0.9,2.4,1.5,1.5
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,54,849,8.6,.542,.644,.168,2.1,11.1,6.4,14.5,1.3,0.3,13.9,12.6,,0.5,0.6,1.1,.064,,-2.1,-1.2,-3.2,-0.3
18,Trevor Ariza\arizatr01,SF,34,TOT,45,1209,10.4,.574,.638,.175,2.6,16.6,9.4,7.8,2.3,0.9,14.0,11.5,,0.8,1.1,1.9,.075,,-0.8,1.1,0.3,0.7
18,Trevor Ariza\arizatr01,SF,34,SAC,32,791,9.5,.543,.739,.164,2.9,18.4,10.4,8.5,2.2,0.8,13.7,11.3,,0.3,0.8,1.1,.069,,-1.3,1.2,-0.1,0.4
18,Trevor Ariza\arizatr01,SF,34,POR,13,418,12.1,.631,.457,.196,2.0,13.1,7.6,6.7,2.6,1.0,14.5,11.9,,0.4,0.3,0.8,.088,,0.0,1.0,1.1,0.3
19,D.J. Augustin\augusdj01,PG,32,ORL,40,1029,14.1,.541,.421,.396,1.5,8.7,5.0,26.6,1.3,0.1,12.5,18.6,,1.4,0.8,2.2,.103,,-0.2,-2.1,-2.4,-0.1
20,Deandre Ayton\aytonde01,C,21,PHO,25,831,21.0,.566,.005,.163,13.8,27.1,20.3,10.4,1.0,4.3,11.2,24.1,,1.2,1.1,2.3,.131,,-0.8,1.7,1.0,0.6
21,Dwayne Bacon\bacondw01,SG,24,CHO,39,687,6.1,.419,.275,.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.4,,-1.2,0.4,-0.8,-0.053,,-6.2,-1.5,-7.7,-1.0
22,Marvin Bagley\baglema01,PF,20,SAC,13,334,15.8,.512,.132,.186,9.5,23.7,16.4,5.0,0.9,3.4,9.1,25.9,,0.0,0.3,0.4,.055,,-4.0,-1.6,-5.6,-0.3
23,Lonzo Ball\balllo01,PG,22,NOP,49,1570,12.9,.511,.576,.098,3.6,16.3,9.9,28.7,1.9,1.3,20.5,18.5,,0.4,1.4,1.8,.054,,-0.1,0.7,0.6,1.0
24,Mo Bamba\bambamo01,C,21,ORL,51,758,16.5,.541,.363,.133,10.1,25.6,17.5,7.1,1.3,8.6,13.3,16.8,,0.4,1.5,1.9,.123,,-2.9,4.2,1.3,0.6
25,J.J. Barea\bareajo01,PG,35,DAL,18,282,18.5,.555,.388,.101,3.4,11.3,7.4,37.7,0.5,0.6,14.7,25.9,,0.6,0.1,0.7,.124,,2.0,-3.2,-1.2,0.1
26,Harrison Barnes\barneha02,PF,27,SAC,56,1947,13.4,.573,.341,.348,2.9,13.0,7.8,9.6,0.8,0.4,8.6,17.7,,2.7,0.9,3.7,.090,,-0.1,-1.1,-1.2,0.4
27,RJ Barrett\barrerj01,SG,19,NYK,46,1399,10.0,.464,.265,.350,3.3,14.8,8.8,12.2,1.5,1.1,12.5,23.5,,-1.6,0.9,-0.7,-0.023,,-3.7,-0.8,-4.5,-0.9
28,Will Barton\bartowi01,SF,29,DEN,50,1656,15.9,.542,.371,.187,4.9,16.8,10.8,16.6,1.6,1.4,9.3,19.9,,2.3,1.9,4.2,.121,,1.0,0.7,1.7,1.6
