Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,51,51,1382,233,400,.583,1,3,.333,232,397,.584,.584,97,160,.606,173,313,486,128,40,58,76,100,564
2,Bam Adebayo\adebaba01,PF,22,MIA,56,56,1927,350,606,.578,1,12,.083,349,594,.588,.578,197,288,.684,146,438,584,282,71,66,154,136,898
3,LaMarcus Aldridge\aldrila01,C,34,SAS,52,52,1717,381,770,.495,60,153,.392,321,617,.520,.534,155,187,.829,103,287,390,127,33,83,73,127,977
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,0,501,77,227,.339,40,117,.342,37,110,.336,.427,17,28,.607,8,72,80,74,11,7,40,46,211
5,Grayson Allen\allengr01,SG,24,MEM,30,0,498,79,176,.449,33,91,.363,46,85,.541,.543,30,35,.857,5,61,66,43,6,1,23,36,221
6,Jarrett Allen\allenja01,C,21,BRK,55,51,1447,233,366,.637,0,5,.000,233,361,.645,.637,132,209,.632,168,358,526,77,33,79,62,129,598
7,Kadeem Allen\allenka01,SG,27,NYK,10,0,117,19,44,.432,5,16,.313,14,28,.500,.489,7,11,.636,2,7,9,21,5,2,8,7,50
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,25,86,.291,9,36,.250,16,50,.320,.343,19,29,.655,24,63,87,21,18,8,17,27,78
9,Justin Anderson\anderju01,SF,26,BRK,3,0,17,1,6,.167,0,3,.000,1,3,.333,.167,1,2,.500,0,2,2,0,0,1,0,2,3
10,Kyle Anderson\anderky01,PF,26,MEM,50,11,913,113,224,.504,10,45,.222,103,179,.575,.527,38,58,.655,48,162,210,108,39,24,45,75,274
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,,0,7,7,2,1,0,1,1,5
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,50,50,1543,554,1003,.552,75,241,.311,479,762,.629,.590,319,519,.615,120,559,679,292,55,53,182,155,1502
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,15,1,61,13,23,.565,0,3,.000,13,20,.650,.565,4,9,.444,6,1,7,6,2,1,5,9,30
15,Carmelo Anthony\anthoca01,PF,35,POR,42,42,1369,247,589,.419,62,172,.360,185,417,.444,.472,98,116,.845,54,220,274,62,34,20,72,124,654
16,OG Anunoby\anunoog01,SF,22,TOR,56,55,1640,229,459,.499,68,187,.364,161,272,.592,.573,46,69,.667,61,239,300,86,66,40,71,132,572
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,54,3,849,80,202,.396,50,130,.385,30,72,.417,.520,25,34,.735,17,82,99,88,23,3,35,87,235
18,Trevor Ariza\arizatr01,SF,34,TOT,45,13,1209,111,257,.432,59,164,.360,52,93,.559,.547,37,45,.822,29,179,208,71,58,12,45,93,318
18,Trevor Ariza\arizatr01,SF,34,SAC,32,0,791,64,165,.388,43,122,.352,21,43,.488,.518,21,27,.778,21,125,146,50,35,7,28,63,192
18,Trevor Ariza\arizatr01,SF,34,POR,13,13,418,47,92,.511,16,42,.381,31,50,.620,.598,16,18,.889,8,54,62,21,23,5,17,30,126
19,D.J. Augustin\augusdj01,PG,32,ORL,40,6,1029,128,328,.390,47,138,.341,81,190,.426,.462,114,130,.877,15,81,96,184,28,1,55,45,417
